date,side,symbol,qty,price,cash_after,pnl
2022-02-01,BUY,TVSMOTOR.NS,10,614.4127476226848,93854.87252377316,
2022-02-07,SELL,TVSMOTOR.NS,10,655.9606580601828,100413.47910437499,6558.606580601829
2022-02-22,BUY,TVSMOTOR.NS,10,652.6908572940079,93885.5705314349,
2022-03-07,SELL,TVSMOTOR.NS,10,514.7672518202197,99032.2430496371,5146.672518202197
2022-04-12,BUY,TVSMOTOR.NS,10,648.7852403985509,92543.39064565158,
2022-12-01,SELL,TVSMOTOR.NS,10,1035.9138681431075,102901.52932708265,10358.138681431075
2023-02-15,BUY,TVSMOTOR.NS,10,1102.059926651908,91879.93006056358,
2023-04-06,SELL,TVSMOTOR.NS,10,1090.3003251974073,102781.93331253766,10902.003251974074
2023-04-17,BUY,TVSMOTOR.NS,10,1163.790097080874,91143.03234172892,
2024-04-12,SELL,TVSMOTOR.NS,10,2001.7934711648502,111159.96705337742,20016.9347116485
2024-05-24,BUY,TVSMOTOR.NS,10,2251.7923842387313,88641.0432109901,
2024-10-24,SELL,TVSMOTOR.NS,10,2490.521536340433,113545.25857439444,24904.21536340433
2025-01-03,BUY,TVSMOTOR.NS,10,2478.9643907989475,88754.61466640496,
2025-01-06,SELL,TVSMOTOR.NS,10,2408.8510433030065,112842.12509943503,24087.510433030064
2025-02-11,BUY,TVSMOTOR.NS,10,2490.9206692514986,87931.91840692004,
2025-03-10,SELL,TVSMOTOR.NS,10,2236.6018174543715,110296.93658146376,22365.018174543715
2025-04-15,BUY,TVSMOTOR.NS,10,2590.2945,84392.99158146375,
