date,value
2022-01-03,100000000.0
2022-01-04,100000000.0
2022-01-05,100000000.0
2022-01-06,99999980.87144098
2022-01-07,99999865.11201377
2022-01-10,100000064.25605439
2022-01-11,99999832.74069636
2022-01-12,100000281.5456865
2022-01-13,100000573.39765455
2022-01-14,100000490.49781932
2022-01-17,100000576.33632694
2022-01-18,100000576.33632694
2022-01-19,100000576.33632694
2022-01-20,100000636.178328
2022-01-21,100000580.75180201
2022-01-24,100000631.76386392
2022-01-25,100000829.9263067
2022-01-27,100001208.59075351
2022-01-28,100001149.24030118
2022-01-31,100001155.61624071
2022-02-01,100001542.13077068
2022-02-02,100001523.98281088
2022-02-03,100001851.1456566
2022-02-04,100001767.76263313
2022-02-07,100001453.3530137
2022-02-08,100001669.66275948
2022-02-09,100001655.4372408
2022-02-10,100001656.91162792
2022-02-11,100001656.91162792
2022-02-14,100001623.55792259
2022-02-15,100001818.77696387
2022-02-16,100001855.07268757
2022-02-17,100002036.55875793
2022-02-18,100001734.41120312
2022-02-21,100001914.9155752
2022-02-22,100001979.66095759
2022-02-23,100001979.66095759
2022-02-24,100001904.12371978
2022-02-25,100001962.00296715
2022-02-28,100002036.55936654
2022-03-02,100001718.71467535
2022-03-03,100001338.08596936
2022-03-04,100001338.08596936
2022-03-07,100001338.08596936
2022-03-08,100001300.31745704
2022-03-09,100001691.2462982
2022-03-10,100001693.69952853
2022-03-11,100001853.60123771
2022-03-14,100001853.60073799
2022-03-15,100001798.17426763
2022-03-16,100002009.58091025
2022-03-17,100002359.79613058
2022-03-21,100002359.79613058
2022-03-22,100002359.79613058
2022-03-23,100002338.21453562
2022-03-24,100002264.3173331
2022-03-25,100002201.14465822
2022-03-28,100002378.81578179
2022-03-29,100002378.81578179
2022-03-30,100002362.03588232
2022-03-31,100002442.97627665
2022-04-01,100002445.44386175
2022-04-04,100002588.56811275
2022-04-05,100002640.3925322
2022-04-06,100003182.30222271
2022-04-07,100002708.50253668
2022-04-08,100002708.50253668
2022-04-11,100002737.62158397
2022-04-12,100002796.84655108
2022-04-13,100002856.07142921
2022-04-18,100002908.38586423
2022-04-19,100002590.5467539
2022-04-20,100002944.41304907
2022-04-21,100002944.41304907
2022-04-22,100002998.20837532
2022-04-25,100002979.45328517
2022-04-26,100003630.43286797
2022-04-27,100003880.65613815
2022-04-28,100003880.65613815
2022-04-29,100003880.65613815
2022-05-02,100003880.65613815
2022-05-04,100003880.65613815
2022-05-05,100003981.83129784
2022-05-06,100003905.33292621
2022-05-09,100003905.333058
2022-05-10,100003921.61951487
2022-05-11,100003967.51929139
2022-05-12,100003867.33051267
2022-05-13,100003867.33051267
2022-05-16,100003852.52417012
2022-05-17,100004086.46163239
2022-05-18,100004086.46163239
2022-05-19,100004086.46163239
2022-05-20,100004078.56516871
2022-05-23,100004199.97643083
2022-05-24,100004517.81535928
2022-05-25,100004517.8159547
2022-05-26,100004488.69560361
2022-05-27,100004996.05422129
2022-05-30,100004996.05422129
2022-05-31,100004991.61248241
2022-06-01,100004946.70040588
2022-06-02,100004904.74956377
2022-06-03,100004816.40552157
2022-06-06,100004857.86245587
2022-06-07,100004980.26026507
2022-06-08,100005118.4511984
2022-06-09,100005140.16730542
2022-06-10,100005086.86482313
2022-06-13,100005154.48030327
2022-06-14,100005136.21978554
2022-06-15,100005338.57104114
2022-06-16,100005338.57104114
2022-06-17,100005338.57104114
2022-06-20,100005332.64939304
2022-06-21,100005434.81124099
2022-06-22,100005434.81124099
2022-06-23,100005434.81124099
2022-06-24,100005315.37429035
2022-06-27,100005316.85589325
2022-06-28,100005379.04229037
2022-06-29,100005518.2184086
2022-06-30,100005731.92275196
2022-07-01,100006481.60747774
2022-07-04,100005672.20398983
2022-07-05,100005626.79879801
2022-07-06,100005860.73564199
2022-07-07,100005860.73564199
2022-07-08,100005874.55556054
2022-07-11,100006040.87774082
2022-07-12,100006020.64284223
2022-07-13,100006100.59528585
2022-07-14,100005687.99829668
2022-07-15,100006687.41372162
2022-07-18,100007022.03528327
2022-07-19,100007209.57712717
2022-07-20,100007223.88987547
2022-07-21,100007285.5821398
2022-07-22,100007417.85094084
2022-07-25,100006990.93992777
2022-07-26,100006732.32726456
2022-07-27,100005931.80105464
2022-07-28,100008839.73772421
2022-07-29,100008831.34728883
2022-08-01,100009057.88176052
2022-08-02,100009057.88176052
2022-08-03,100008986.31837295
2022-08-04,100009040.11393628
2022-08-05,100009306.13100176
2022-08-08,100009649.63662574
2022-08-10,100009649.63662574
2022-08-11,100009632.36261141
2022-08-12,100009522.30333808
2022-08-16,100010027.6868782
2022-08-17,100009770.05923264
2022-08-18,100009833.23384495
