date,value
2022-01-03,99999982.83277152
2022-01-04,99999971.5506158
2022-01-05,100000169.71461233
2022-01-06,100000450.77098984
2022-01-07,100000103.9837306
2022-01-10,100000560.6418093
2022-01-11,100000120.17381455
2022-01-12,100000925.08048926
2022-01-13,100001383.2141956
2022-01-14,100001250.28079103
2022-01-17,100001097.73860607
2022-01-18,99999591.4131409
2022-01-19,99999581.60369515
2022-01-20,99998793.3750175
2022-01-21,99998105.67715383
2022-01-24,99995375.57349308
2022-01-25,99996824.51108234
2022-01-27,99998250.87221831
2022-01-28,99993264.94461754
2022-01-31,99994039.44067426
2022-02-01,99997956.09002548
2022-02-02,99997917.3445315
2022-02-03,100004651.40434988
2022-02-04,100003692.47574443
2022-02-07,99999599.2819453
2022-02-08,100004418.42372234
2022-02-09,100005192.91402397
2022-02-10,100007554.68330377
2022-02-11,100005420.52926351
2022-02-14,100000052.97389802
2022-02-15,100006393.16974595
2022-02-16,100006941.53212003
2022-02-17,100008858.41613962
2022-02-18,100006365.69130957
2022-02-21,100004845.158084
2022-02-22,100006581.51133443
2022-02-23,100002467.68889281
2022-02-24,99990650.09415989
2022-02-25,99995508.514351
2022-02-28,99990092.88764492
2022-03-02,99982257.14073205
2022-03-03,99977338.42066121
2022-03-04,99964753.64351694
2022-03-07,99954405.56872648
2022-03-08,99956547.60490166
2022-03-09,99965317.25711519
2022-03-10,99969742.07240607
2022-03-11,99977281.00858751
2022-03-14,99982295.87136903
2022-03-15,99983441.20661743
2022-03-16,99990668.74607255
2022-03-17,99991572.23471655
2022-03-21,99990068.36507306
2022-03-22,99992036.25374818
2022-03-23,99991273.0620458
2022-03-24,99990033.73515578
2022-03-25,99988797.91477582
2022-03-28,99991257.71206406
2022-03-29,99994666.53848699
2022-03-30,99999512.61320178
2022-03-31,100001835.69043693
2022-04-01,100003643.52057086
2022-04-04,100006611.14738533
2022-04-05,100008643.09448545
2022-04-06,100015532.94179803
2022-04-07,100009129.73678151
2022-04-08,100019179.18589738
2022-04-11,100017587.97962728
2022-04-12,100017051.97914748
2022-04-13,100016975.00651585
2022-04-18,100021079.76540887
2022-04-19,100010273.24404757
2022-04-20,100018153.60953869
2022-04-21,100022909.31271361
2022-04-22,100013759.58386993
2022-04-25,100016479.96696338
2022-04-26,100040614.56471024
2022-04-27,100044457.72189492
2022-04-28,100040428.93928836
2022-04-29,100019764.4409546
2022-05-02,100015184.90469874
2022-05-04,99997920.45488
2022-05-05,100000894.98331118
2022-05-06,99999313.21996406
2022-05-09,99988036.84558412
2022-05-10,99988657.21317999
2022-05-11,99992056.24161862
2022-05-12,99976607.91965514
2022-05-13,100004710.57457845
2022-05-16,100021255.45024273
2022-05-17,100041366.71114472
2022-05-18,100045093.87538752
2022-05-19,100043949.33065665
2022-05-20,100048944.49815781
2022-05-23,100059485.04272072
2022-05-24,100071597.41231899
2022-05-25,100065248.60432066
2022-05-26,100071047.10115707
2022-05-27,100085842.46115486
2022-05-30,100101455.56948599
2022-05-31,100098391.19122368
2022-06-01,100099090.53689396
2022-06-02,100100609.1536788
2022-06-03,100092023.044596
2022-06-06,100090421.98199905
2022-06-07,100106302.11906606
2022-06-08,100113626.23771073
2022-06-09,100127536.66353455
2022-06-10,100126998.19660766
2022-06-13,100112863.74543741
2022-06-14,100112253.7155105
2022-06-15,100116519.26839833
2022-06-16,100109117.23345527
2022-06-17,100101367.77992208
2022-06-20,100090671.78381109
2022-06-21,100106313.45008814
2022-06-22,100105720.7199207
2022-06-23,100138113.64225283
2022-06-24,100169151.2756147
2022-06-27,100172407.24030085
2022-06-28,100194619.4755261
2022-06-29,100210334.62820682
2022-06-30,100220735.07571425
2022-07-01,100243397.87079158
2022-07-04,100219478.59385595
2022-07-05,100184268.4700362
2022-07-06,100199955.03429085
2022-07-07,100200932.28357656
2022-07-08,100217623.91599512
2022-07-11,100237732.08722305
2022-07-12,100229884.31936549
2022-07-13,100240358.16218996
2022-07-14,100213640.00489806
2022-07-15,100259808.07266675
2022-07-18,100268547.70521472
2022-07-19,100271127.84821314
2022-07-20,100267517.62482862
2022-07-21,100270331.27510077
2022-07-22,100278853.72456586
2022-07-25,100258626.04695123
2022-07-26,100249574.58272552
2022-07-27,100229174.50085154
2022-07-28,100257979.009779
2022-07-29,100310832.09151159
2022-08-01,100337227.09329478
2022-08-02,100354005.87253886
2022-08-03,100338658.31061614
2022-08-04,100347863.30490993
2022-08-05,100368665.47309846
2022-08-08,100380914.16092107
2022-08-10,100395528.87181443
2022-08-11,100383065.98683819
2022-08-12,100374460.14997697
2022-08-16,100414537.96637842
2022-08-17,100401536.67235102
2022-08-18,100406742.08634321
2022-08-19,100383316.19642952
2022-08-22,100349601.14725393
2022-08-23,100377947.50154528
2022-08-24,100385431.52902861
2022-08-25,100368200.1386137
2022-08-26,100376894.24957192
2022-08-29,100382270.39217047
2022-08-30,100426935.18440144
2022-09-01,100474621.86525884
2022-09-02,100492130.25400244
2022-09-05,100512073.39422576
2022-09-06,100539336.70433834
2022-09-07,100517456.80041705
2022-09-08,100523018.02219184
2022-09-09,100538068.43488249
2022-09-12,100532477.96504319
2022-09-13,100512520.33673905
2022-09-14,100511029.89541084
2022-09-15,100517400.06194612
2022-09-16,100488692.22492959
2022-09-19,100492625.70284255
2022-09-20,100588691.19016194
2022-09-21,100564703.74904223
2022-09-22,100561154.5538677
2022-09-23,100509834.01770408
2022-09-26,100487043.75999042
2022-09-27,100505113.22540568
2022-09-28,100480496.49702595
2022-09-29,100463523.78897826
2022-09-30,100500656.18056406
2022-10-03,100432976.13578747
2022-10-04,100505654.07309599
2022-10-06,100579645.64609458
2022-10-07,100598576.64528383
2022-10-10,100564410.3753675
2022-10-11,100542870.69592215
2022-10-12,100604464.68046689
2022-10-13,100585091.31019275
2022-10-14,100586600.15330327
2022-10-17,100580080.82231416
2022-10-18,100684494.73412342
2022-10-19,100767093.06906459
2022-10-20,100709967.50058307
2022-10-21,100708954.45069742
2022-10-24,100717403.73767196
2022-10-25,100738901.14981407
2022-10-27,100674343.78791316
2022-10-28,100679498.06943505
2022-10-31,100717517.08465801
2022-11-01,100701203.26024738
2022-11-02,100654468.39245212
2022-11-03,100694595.15978304
2022-11-04,100652498.0005734
2022-11-07,100649537.1578746
2022-11-09,100715869.40389472
2022-11-10,100634742.51656543
2022-11-11,100637856.9512213
2022-11-14,100623748.19247378
2022-11-15,100628898.75282206
2022-11-16,100661366.71205953
2022-11-17,100641286.78091699
2022-11-18,100583035.19911426
2022-11-21,100511168.56522751
2022-11-22,100499975.49610916
2022-11-23,100518816.00298363
2022-11-24,100520225.05974971
2022-11-25,100486944.79035228
2022-11-28,100537753.75210565
2022-11-29,100492044.37570411
2022-11-30,100510372.72021669
2022-12-01,100514499.31612289
2022-12-02,100510898.68569936
2022-12-05,100442039.97872831
2022-12-06,100494367.7457377
2022-12-07,100458673.64913997
2022-12-08,100460184.77967377
2022-12-09,100483554.58326143
2022-12-12,100487296.20736791
2022-12-13,100484895.53172089
2022-12-14,100466229.87349659
2022-12-15,100490293.27563977
2022-12-16,100492163.32045624
2022-12-19,100530356.0890718
2022-12-20,100530159.34655191
2022-12-21,100476502.02483359
2022-12-22,100490300.389243
2022-12-23,100422031.86098261
2022-12-26,100434094.44089736
2022-12-27,100502727.08971463
2022-12-28,100596242.92435642
2022-12-29,100640659.9373905
2022-12-30,100602629.44174266
2023-01-02,100572378.53459872
2023-01-03,100494905.09999718
2023-01-04,100454139.57025607
2023-01-05,100466881.22482175
2023-01-06,100452652.50018248
2023-01-09,100444110.7848066
2023-01-10,100432020.21783945
2023-01-11,100427816.63344438
2023-01-12,100404769.1614488
2023-01-13,100396144.35158555
2023-01-16,100361888.34212478
2023-01-17,100356604.54365374
2023-01-18,100396204.93484646
2023-01-19,100427209.47895588
2023-01-20,100313044.75910178
2023-01-23,100343655.03910778
2023-01-24,100349147.566957
2023-01-25,100490508.80443843
2023-01-27,100524377.02014673
2023-01-30,100479271.02377512
2023-01-31,100487287.82795775
2023-02-01,100438381.66415298
2023-02-02,100408085.00217262
2023-02-03,100498273.71690907
2023-02-06,100556478.21078712
2023-02-07,100538931.88811836
2023-02-08,100508762.7877002
2023-02-09,100536771.30964166
2023-02-10,100606695.27988774
2023-02-13,100589640.8640148
2023-02-14,100614950.5717949
2023-02-15,100692817.16708596
2023-02-16,100741184.87169828
2023-02-17,100685287.13561137
2023-02-20,100760361.6862078
2023-02-21,100746664.07872763
2023-02-22,100714211.6598887
2023-02-23,100722656.07460058
2023-02-24,100688684.64181045
2023-02-27,100631407.85306479
2023-02-28,100617372.98785248
2023-03-01,100567662.06669249
2023-03-02,100578825.46733825
2023-03-03,100588883.27667828
2023-03-06,100670414.47010143
2023-03-08,100703274.64927952
2023-03-09,100635470.18211831
2023-03-10,100593529.63650306
2023-03-13,100524497.95212004
2023-03-14,100516532.71833105
2023-03-15,100477344.19524491
2023-03-16,100539119.91100134
2023-03-17,100519448.00552595
2023-03-20,100504206.646965
2023-03-21,100541010.54190949
2023-03-22,100543242.72524919
2023-03-23,100521215.06216729
2023-03-24,100504571.86402772
2023-03-27,100518727.42902955
