date,value
2022-01-03,100000.0
2022-01-04,100000.0
2022-01-05,100000.0
2022-01-06,100000.0
2022-01-07,100000.0
2022-01-10,100000.0
2022-01-11,100000.0
2022-01-12,100000.0
2022-01-13,100000.0
2022-01-14,100000.0
2022-01-17,100000.0
2022-01-18,100000.0
2022-01-19,100000.0
2022-01-20,100000.0
2022-01-21,100000.0
2022-01-24,100000.0
2022-01-25,100000.0
2022-01-27,100000.0
2022-01-28,100000.0
2022-01-31,100000.0
2022-02-01,100002.45257387764
2022-02-02,100001.4717389167
2022-02-03,100306.56207094796
2022-02-04,100264.86956606514
2022-02-07,100421.82984468296
2022-02-08,100421.82984468296
2022-02-09,100421.82984468296
2022-02-10,100421.82984468296
2022-02-11,100421.82984468296
2022-02-14,100421.82984468296
2022-02-15,100421.82984468296
2022-02-16,100421.82984468296
2022-02-17,100421.82984468296
2022-02-18,100421.82984468296
2022-02-21,100421.82984468296
2022-02-22,100407.11497988329
2022-02-23,100288.90453066454
2022-02-24,99971.5516253911
2022-02-25,100097.61058535204
2022-02-28,99956.83665957079
2022-03-02,99764.06993593798
2022-03-03,99642.42625918017
2022-03-04,99340.27782168017
2022-03-07,99048.43073714088
2022-03-08,99048.43073714088
2022-03-09,99048.43073714088
2022-03-10,99048.43073714088
2022-03-11,99048.43073714088
2022-03-14,99048.43073714088
2022-03-15,99048.43073714088
2022-03-16,99048.43073714088
2022-03-17,99048.43073714088
2022-03-21,99048.43073714088
2022-03-22,99048.43073714088
2022-03-23,99048.43073714088
2022-03-24,99048.43073714088
2022-03-25,99048.43073714088
2022-03-28,99048.43073714088
2022-03-29,99048.43073714088
2022-03-30,99048.43073714088
2022-03-31,99048.43073714088
2022-04-01,99048.43073714088
2022-04-04,99048.43073714088
2022-04-05,99048.43073714088
2022-04-06,99048.43073714088
2022-04-07,99048.43073714088
2022-04-08,99048.43073714088
2022-04-11,99048.43073714088
2022-04-12,98982.29598000171
2022-04-13,98980.32210304859
2022-04-18,99039.05318215015
2022-04-19,98887.04329445484
2022-04-20,98996.6093344939
2022-04-21,99060.76888039234
2022-04-22,98936.39693215015
2022-04-25,98973.41231300952
2022-04-26,99290.75850441577
2022-04-27,99341.09908058765
2022-04-28,99289.27718117359
2022-04-29,99027.70125343921
2022-05-02,98970.45088722827
2022-05-04,98757.73604347827
2022-05-05,98792.77693703296
2022-05-06,98773.03572609546
2022-05-09,98638.79317238452
2022-05-10,98646.19612648609
2022-05-11,98685.18599465015
2022-05-12,98508.49837257984
2022-05-13,98828.31221535327
2022-05-16,99014.37605812671
2022-05-17,99237.94966652515
2022-05-18,99277.92586281421
2022-05-19,99267.06770851734
2022-05-20,99320.86409523609
2022-05-23,99432.89778664234
2022-05-24,99560.72371437671
2022-05-25,99494.59029152515
2022-05-26,99555.29463722827
2022-05-27,99707.30513527515
2022-05-30,99864.7441001189
2022-05-31,99834.14473488452
2022-06-01,99840.56075050952
2022-06-02,99855.86043312671
2022-06-03,99772.45223000171
2022-06-06,99756.65877297046
2022-06-07,99908.17549660327
2022-06-08,99977.27095558765
2022-06-09,100107.07198097827
2022-06-10,100101.64290382984
2022-06-13,99971.34871437671
2022-06-14,99965.91963722827
2022-06-15,100004.90828468921
2022-06-16,99938.28108742359
2022-06-17,99869.68001320484
2022-06-20,99775.90743019702
2022-06-21,99911.63008644702
2022-06-22,99906.69478371265
2022-06-23,100184.06355812671
2022-06-24,100448.10652687671
2022-06-27,100475.2519126189
2022-06-28,100659.83565285327
2022-06-29,100789.63545754077
2022-06-30,100874.52498390796
2022-07-01,101057.13423683765
2022-07-04,100864.16121437671
2022-07-05,100582.84346535327
2022-07-06,100708.20174172046
2022-07-07,100716.59224465015
2022-07-08,100846.8876548064
2022-07-11,101002.84529640796
2022-07-12,100942.63350441577
2022-07-13,101022.58650734546
2022-07-14,100820.23604347827
2022-07-15,101167.68721535327
2022-07-18,101232.34114601734
2022-07-19,101251.58858254077
