date,value
2022-01-03,100000.0
2022-01-04,100000.0
2022-01-05,100000.0
2022-01-06,100000.0
2022-01-07,100000.0
2022-01-10,100000.0
2022-01-11,100000.0
2022-01-12,100000.0
2022-01-13,100000.0
2022-01-14,100000.0
2022-01-17,100000.0
2022-01-18,100000.0
2022-01-19,100000.0
2022-01-20,100000.0
2022-01-21,100000.0
2022-01-24,100000.0
2022-01-25,100000.0
2022-01-27,100000.0
2022-01-28,100000.0
2022-01-31,100000.0
2022-02-01,100002.4531842292
2022-02-02,100001.4717389167
2022-02-03,100306.56207094796
2022-02-04,100264.8701764167
2022-02-07,100421.82984468296
2022-02-08,100421.82984468296
2022-02-09,100421.82984468296
2022-02-10,100421.82984468296
2022-02-11,100421.82984468296
2022-02-14,100421.82984468296
2022-02-15,100421.82984468296
2022-02-16,100421.82984468296
2022-02-17,100421.82984468296
2022-02-18,100421.82984468296
2022-02-21,100421.82984468296
2022-02-22,100407.11434414142
2022-02-23,100288.90450527423
2022-02-24,99971.55037929767
2022-02-25,100097.6093392586
2022-02-28,99956.83541347735
2022-03-02,99764.0693001961
2022-03-03,99642.42501308673
2022-03-04,99340.27718593829
2022-03-07,99048.42949104744
2022-03-08,99048.42949104744
2022-03-09,99048.42949104744
2022-03-10,99048.42949104744
2022-03-11,99048.42949104744
2022-03-14,99048.42949104744
2022-03-15,99048.42949104744
2022-03-16,99048.42949104744
2022-03-17,99048.42949104744
2022-03-21,99048.42949104744
2022-03-22,99048.42949104744
2022-03-23,99048.42949104744
2022-03-24,99048.42949104744
2022-03-25,99048.42949104744
2022-03-28,99048.42949104744
2022-03-29,99048.42949104744
2022-03-30,99048.42949104744
2022-03-31,99048.42949104744
2022-04-01,99048.42949104744
2022-04-04,99048.42949104744
2022-04-05,99048.42949104744
2022-04-06,99048.42949104744
2022-04-07,99048.42949104744
2022-04-08,99048.42949104744
2022-04-11,99048.42949104744
2022-04-12,98982.29473390827
2022-04-13,98980.32085695515
2022-04-18,99039.05254640827
2022-04-19,98887.04143800984
2022-04-20,98996.6074780489
2022-04-21,99060.7676342989
2022-04-22,98936.39507570515
2022-04-25,98973.41106691609
2022-04-26,99290.75725832234
2022-04-27,99341.09783449421
2022-04-28,99289.27593508015
2022-04-29,99027.70061769734
2022-05-02,98970.4502514864
2022-05-04,98757.73479738484
2022-05-05,98792.77630129109
2022-05-06,98773.03386965046
2022-05-09,98638.79192629109
2022-05-10,98646.19488039265
2022-05-11,98685.18413820515
2022-05-12,98508.4971264864
2022-05-13,98828.31096925984
2022-05-16,99014.37481203327
2022-05-17,99237.94842043171
2022-05-18,99277.92522707234
2022-05-19,99267.06707277546
2022-05-20,99320.86284914265
2022-05-23,99432.8965405489
2022-05-24,99560.72307863484
2022-05-25,99494.58904543171
2022-05-26,99555.29339113484
2022-05-27,99707.30388918171
2022-05-30,99864.74285402546
2022-05-31,99834.14348879109
2022-06-01,99840.55889406452
2022-06-02,99855.85918703327
2022-06-03,99772.45098390827
2022-06-06,99756.65752687702
2022-06-07,99908.17425050984
2022-06-08,99977.26909914265
2022-06-09,100107.07073488484
2022-06-10,100101.6416577364
2022-06-13,99971.34807863484
2022-06-14,99965.9190014864
2022-06-15,100004.90764894734
2022-06-16,99938.27984133015
2022-06-17,99869.67815675984
2022-06-20,99775.90618410359
2022-06-21,99911.62884035359
2022-06-22,99906.69353761921
2022-06-23,100184.06292238484
2022-06-24,100448.1065014864
2022-06-27,100475.25066652546
2022-06-28,100659.83440675984
2022-06-29,100789.6348217989
2022-06-30,100874.52373781452
2022-07-01,101057.13360109577
2022-07-04,100864.15935793171
2022-07-05,100582.84221925984
2022-07-06,100708.20049562702
2022-07-07,100716.59099855671
2022-07-08,100846.8857983614
2022-07-11,101002.84405031452
2022-07-12,100942.63225832234
2022-07-13,101022.58587160359
2022-07-14,100820.23418703327
2022-07-15,101167.6865796114
2022-07-18,101232.33928957234
2022-07-19,101251.5879467989
