date,value
2022-01-03,99982.8321606414
2022-01-04,99971.5518303335
2022-01-05,100169.71217783821
2022-01-06,100450.7722081173
2022-01-07,100103.9855592309
2022-01-10,100560.64058617389
2022-01-11,100120.17199020753
2022-01-12,100925.08354773988
2022-01-13,101383.21237125382
2022-01-14,101250.27835675474
2022-01-17,101097.74225936763
2022-01-18,99591.41801223843
2022-01-19,99581.5933077147
2022-01-20,98793.37195528265
2022-01-21,98105.6832468863
2022-01-24,95324.55836895661
2022-01-25,96575.32436016755
2022-01-27,97921.75380352692
2022-01-28,93816.27284649567
2022-01-31,94456.37294415192
2022-02-01,97392.02052715974
2022-02-02,97377.29884747224
2022-02-03,101953.65382794099
2022-02-04,101328.27540997224
2022-02-07,98966.51698712067
2022-02-08,101843.29616192536
2022-02-09,102336.25270489411
2022-02-10,103601.73122051911
2022-02-11,102424.54616192536
2022-02-14,99665.48549298005
2022-02-15,102843.91261700349
2022-02-16,103108.77467755036
2022-02-17,104006.40346173005
2022-02-18,102873.34682110505
2022-02-21,102122.88905743317
2022-02-22,102873.34682110505
2022-02-23,101100.19923809724
2022-02-24,96339.8873484488
2022-02-25,98230.77174786286
2022-02-28,96119.16286114411
2022-03-02,93227.67116192536
2022-03-03,91403.00685528474
2022-03-04,86870.78944805817
2022-03-07,83293.56487732404
2022-03-08,84086.22112732404
2022-03-09,87272.51018982404
2022-03-10,88810.71331482404
2022-03-11,91377.01214294904
2022-03-14,93048.64300232404
2022-03-15,93448.88714294904
2022-03-16,95787.58831482404
2022-03-17,96101.50433044904
2022-03-21,95630.63518982404
2022-03-22,96234.92229919904
2022-03-23,96015.17620544904
2022-03-24,95669.87347107404
2022-03-25,95322.41253357404
2022-03-28,96017.31487732404
2022-03-29,96972.80315857404
2022-03-30,98291.54339294904
2022-03-31,98899.58050232404
2022-04-01,99389.17034607404
2022-04-04,100155.13714294904
2022-04-05,100692.11956482404
2022-04-06,102413.58440857404
2022-04-07,100842.15862732404
2022-04-08,103282.21722107404
2022-04-11,102895.27386169904
2022-04-12,102784.71722107404
2022-04-13,102753.13518982404
2022-04-18,103692.84222107404
2022-04-19,101260.66448669904
2022-04-20,103013.72112732404
2022-04-21,104040.28362732404
2022-04-22,102050.32268982404
2022-04-25,102642.57854919904
2022-04-26,107720.11761169904
2022-04-27,108525.56683044904
2022-04-28,107696.41643982404
2022-04-29,103511.21136169904
2022-05-02,102595.20550232404
2022-05-04,99191.75823669904
2022-05-05,99752.42229919904
2022-05-06,99436.54339294904
2022-05-09,97288.67229919904
2022-05-10,97407.11956482404
2022-05-11,98030.94768982404
2022-05-12,95203.95550232404
2022-05-13,100320.97698669904
2022-05-16,103297.99847107404
2022-05-17,106875.17620544904
2022-05-18,107514.80511169904
2022-05-19,107341.07464294904
2022-05-20,108201.80706482404
2022-05-23,109994.34612732404
2022-05-24,112039.57073669904
2022-05-25,110981.42620544904
2022-05-26,111952.69573669904
2022-05-27,114384.86370544904
2022-05-30,116903.88714294904
2022-05-31,116414.29729919904
2022-06-01,116516.94378357404
2022-06-02,116761.74847107404
2022-06-03,115427.21722107404
2022-06-06,115174.52190857404
2022-06-07,117598.78948669904
2022-06-08,118704.30706482404
2022-06-09,120781.13323669904
2022-06-10,120694.26800232404
2022-06-13,118609.57073669904
2022-06-14,118522.70550232404
2022-06-15,119146.52386169904
2022-06-16,118080.47893982404
2022-06-17,116982.85198669904
2022-06-20,115482.50042419904
2022-06-21,117654.06292419904
2022-06-22,117575.09808044904
2022-06-23,122013.00823669904
2022-06-24,126237.70550232404
2022-06-27,126672.01214294904
2022-06-28,129625.35198669904
2022-06-29,131702.15862732404
2022-06-30,133060.38128357404
2022-07-01,135982.13909607404
2022-07-04,132894.55120544904
2022-07-05,128393.47698669904
2022-07-06,130399.20940857404
2022-07-07,130533.45745544904
2022-07-08,132618.17425232404
2022-07-11,135113.50628357404
2022-07-12,134150.11761169904
2022-07-13,135429.37542419904
2022-07-14,132191.74847107404
2022-07-15,137750.98675232404
2022-07-18,138785.43011169904
2022-07-19,139093.40862732404
2022-07-20,138666.99261169904
2022-07-21,138990.74261169904
2022-07-22,139977.82268982404
2022-07-25,137648.32073669904
2022-07-26,136613.86761169904
2022-07-27,134308.04729919904
2022-07-28,137585.13714294904
2022-07-29,143499.72698669904
2022-08-01,146437.26604919904
2022-08-02,148285.07854919904
2022-08-03,146610.98675232404
2022-08-04,147613.85784607404
2022-08-05,149864.39495544904
2022-08-08,151183.13518982404
2022-08-10,152746.67034607404
2022-08-11,151427.93011169904
2022-08-12,150527.71526794904
2022-08-16,154720.82073669904
2022-08-17,153370.49847107404
2022-08-18,153915.37151794904
2022-08-19,151506.90472107404
2022-08-22,148063.97503357404
2022-08-23,150938.35003357404
2022-08-24,151696.41643982404
2022-08-25,149982.84222107404
2022-08-26,150827.79339294904
2022-08-29,151364.75628357404
2022-08-30,155747.38323669904
2022-09-01,160406.39690857404
2022-09-02,162104.17034607404
2022-09-05,164030.94768982404
2022-09-06,166636.82659607404
2022-09-07,164560.02972107404
2022-09-08,165096.98284607404
2022-09-09,166518.40862732404
2022-09-12,165997.19768982404
2022-09-13,164133.58440857404
2022-09-14,163999.34612732404
2022-09-15,164583.72112732404
2022-09-16,161954.14104919904
2022-09-19,162317.37347107404
2022-09-20,170995.77190857404
2022-09-21,168832.08050232404
2022-09-22,168516.20159607404
2022-09-23,163951.96331482404
2022-09-26,161946.24065857404
2022-09-27,163525.55706482404
2022-09-28,161377.67620544904
2022-09-29,159901.00628357404
2022-09-30,163114.94183044904
2022-10-03,157310.91839294904
2022-10-04,163533.45745544904
2022-10-06,169834.95159607404
2022-10-07,171422.17815857404
2022-10-10,168547.82268982404
2022-10-11,166739.50237732404
2022-10-12,171872.27581482404
2022-10-13,170277.19768982404
2022-10-14,170395.59612732404
2022-10-17,169874.44378357404
2022-10-18,178402.80315857404
2022-10-19,185099.15081482404
2022-10-20,180487.51018982404
2022-10-21,180416.45550232404
2022-10-24,181095.55706482404
2022-10-25,182809.11175232404
2022-10-27,177692.10003357404
2022-10-28,178102.74456482404
2022-10-31,181087.64690857404
2022-11-01,179816.29925232404
2022-11-02,176183.83831482404
2022-11-03,179287.23675232404
2022-11-04,176049.60003357404
2022-11-07,175828.50628357404
2022-11-09,180882.35393982404
2022-11-10,174754.54143982404
2022-11-11,174991.45550232404
2022-11-14,173933.29143982404
2022-11-15,174320.24456482404
2022-11-16,176736.63128357404
2022-11-17,175252.04143982404
2022-11-18,170948.38909607404
2022-11-21,165673.42815857404
2022-11-22,164860.10784607404
2022-11-23,166234.09222107404
2022-11-24,166336.74847107404
2022-11-25,163936.18206482404
2022-11-28,167576.51409607404
2022-11-29,164315.20550232404
2022-11-30,165626.06487732404
2022-12-01,165918.25237732404
2022-12-02,165665.55706482404
2022-12-05,160832.80315857404
2022-12-06,164488.93597107404
2022-12-07,162009.40472107404
2022-12-08,162119.95159607404
2022-12-09,163730.87933044904
2022-12-12,163991.45550232404
2022-12-13,163833.53558044904
2022-12-14,162562.16839294904
2022-12-15,164188.87737732404
2022-12-16,164315.20550232404
2022-12-19,166881.61175232404
2022-12-20,166865.83050232404
2022-12-21,163288.65276794904
2022-12-22,164196.76800232404
2022-12-23,159679.90276794904
2022-12-26,160477.46136169904
2022-12-27,164978.56487732404
2022-12-28,171082.62737732404
2022-12-29,173972.78362732404
2022-12-30,171509.05315857404
2023-01-02,169558.60393982404
2023-01-03,164583.72112732404
2023-01-04,161977.83245544904
2023-01-05,162791.16253357404
2023-01-06,161890.95745544904
2023-01-09,161353.98479919904
2023-01-10,160595.90862732404
2023-01-11,160335.33245544904
2023-01-12,158898.13518982404
2023-01-13,158361.17229919904
2023-01-16,156236.98284607404
2023-01-17,155913.21331482404
2023-01-18,158345.38128357404
2023-01-19,160240.55706482404
2023-01-20,153267.85198669904
2023-01-23,155131.44573669904
2023-01-24,155470.99651794904
2023-01-25,164007.25628357404
2023-01-27,166044.60003357404
2023-01-30,163343.92620544904
2023-01-31,163825.64495544904
2023-02-01,160919.67815857404
2023-02-02,159126.23089294904
2023-02-03,164451.02581482404
2023-02-06,167871.26018982404
2023-02-07,166839.61956482404
2023-02-08,165077.92034607404
2023-02-09,166704.73675232404
2023-02-10,170759.79534607404
2023-02-13,169775.79143982404
2023-02-14,171235.94768982404
2023-02-15,175703.66253357404
2023-02-16,178465.26409607404
2023-02-17,175283.09612732404
2023-02-20,179544.50237732404
2023-02-21,178766.82659607404
2023-02-22,176941.65081482404
